"","X","country","year","hourly_compensation"
"576",576,"Italy",1999,16.3199996948242
"577",577,"Japan",1999,20.4400005340576
"578",578,"Korea, Rep.",1999,7.3600001335144
"579",579,"Luxembourg",1999,19.5
"580",580,"Mexico",1999,1.80999994277954
"581",581,"Netherlands",1999,21.3600006103516
"582",582,"New Zealand",1999,9.44999980926514
"583",583,"Norway",1999,24.7299995422363
"584",584,"Philippines",1999,0.80000001192093
"585",585,"Poland",1999,2.89000010490418
"586",586,"Portugal",1999,5.05999994277954
"587",587,"Singapore",1999,7.01999998092651
"588",588,"Spain",1999,11.9200000762939
"589",589,"Sri Lanka",1999,0.46000000834465
"590",590,"Sweden",1999,22.0699996948242
"591",591,"Switzerland",1999,23.2299995422363
"592",592,"Taiwan",1999,5.78000020980835
"593",593,"United Kingdom",1999,17.3400001525879
"594",594,"United States",1999,18.8999996185303
"595",595,"Australia",2000,14.4099998474121
"596",596,"Austria",2000,19.1200008392334
"597",597,"Belgium",2000,20.1299991607666
"598",598,"Brazil",2000,3.5
"599",599,"Canada",2000,16.4799995422363
"600",600,"Czech Rep.",2000,3.00999999046326
"601",601,"Denmark",2000,21.4300003051758
"602",602,"Finland",2000,17.8400001525879
"603",603,"France",2000,15.4300003051758
"604",604,"Germany",2000,22.6700000762939
"605",605,"Greece",2000,7.67000007629394
"606",606,"Hong Kong, China",2000,5.44999980926514
"607",607,"Hungary",2000,2.74000000953674
"608",608,"Ireland",2000,13.2799997329712
"609",609,"Israel",2000,11.4099998474121
"610",610,"Italy",2000,14.4700002670288
"611",611,"Japan",2000,21.9300003051758
"612",612,"Korea, Rep.",2000,8.22999954223633
"613",613,"Luxembourg",2000,17.4099998474121
"614",614,"Mexico",2000,2.0699999332428
"615",615,"Netherlands",2000,19.3500003814697
"616",616,"New Zealand",2000,8.38000011444092
"617",617,"Norway",2000,22.5599994659424
"618",618,"Philippines",2000,0.76999998092651
"619",619,"Poland",2000,2.80999994277954
"620",620,"Portugal",2000,4.48999977111816
"621",621,"Singapore",2000,7.30000019073486
"622",622,"Spain",2000,10.6599998474121
"623",623,"Sri Lanka",2000,0.47999998927116
"624",624,"Sweden",2000,20.6800003051758
"625",625,"Switzerland",2000,20.9500007629395
"626",626,"Taiwan",2000,6.19000005722046
"627",627,"United Kingdom",2000,16.8400001525879
"628",628,"United States",2000,19.6499996185303
"629",629,"Australia",2001,13.3299999237061
"630",630,"Austria",2001,19.0699996948242
"631",631,"Belgium",2001,19.8400001525879
"632",632,"Brazil",2001,2.97000002861023
"633",633,"Canada",2001,16.2700004577637
